Classification,Geological Domain,Density (g/cc),Lithium (ppm),"In Situ Dry (Million Metric Tonnes), 100% Project Basis","In Situ LCE Dry (Million Metric Tonnes), 100% Project Basis","In Situ Dry (Million Metric Tonnes), 62% LAC Control Basis","In Situ LCE Dry (Million Metric Tonnes), 62% LAC Control Basis",Metallurgical Recovery (%)
Measured,Smectite 2,1.74,1160,59,0.4,36.6,0.2,74
Measured,Smectite 1,1.77,2380,169.4,2.1,105.1,1.3,63
Measured,Subtotal - Smectite,1.76,2060,228.4,2.5,141.6,1.6,66
Measured,Illite 3,1.86,2760,5.2,0.1,3.2,0,83
Measured,Illite 2,1.9,4920,2.9,0.1,1.8,0,83
Measured,Illite 1,1.83,2530,40.6,0.6,25.2,0.3,84
Measured,Subtotal - Illite,1.84,2700,48.7,0.7,30.2,0.4,84
Measured,Subtotal,1.77,2180,277.1,3.2,171.8,2,69
Indicated,Smectite 2,1.74,1210,551.1,3.6,341.7,2.2,67
Indicated,Smectite 1,1.77,2200,1277.2,15,791.9,9.3,62
Indicated,Subtotal - Smectite,1.76,1910,1828.3,18.5,1133.6,11.5,63
Indicated,Illite 3,1.86,2810,90,1.3,55.8,0.8,85
Indicated,Illite 2,1.9,5040,73.6,2,45.6,1.2,81
Indicated,Illite 1,1.83,2050,404.7,4.4,250.9,2.7,82
Indicated,Subtotal - Illite,1.84,2560,568.3,7.7,352.4,4.8,82
Indicated,Subtotal,1.78,2060,2396.6,26.3,1485.9,16.3,68
Measured + Indicated,Smectite 2,1.74,1210,610.1,3.9,378.3,2.4,67
Measured + Indicated,Smectite 1,1.77,2220,1446.6,17.1,896.9,10.6,62
Measured + Indicated,Subtotal - Smectite,1.76,1920,2056.7,21.1,1275.2,13.1,64
Measured + Indicated,Illite 3,1.86,2810,95.2,1.4,59,0.9,85
Measured + Indicated,Illite 2,1.9,5040,76.4,2.1,47.4,1.3,81
Measured + Indicated,Illite 1,1.83,2100,445.4,5,276.1,3.1,82
Measured + Indicated,Subtotal - Illite,1.84,2570,617,8.4,382.5,5.2,82
Measured + Indicated,Subtotal,1.78,2070,2673.7,29.5,1657.7,18.3,68
Inferred,Smectite 2,1.73,1130,186.5,1.1,115.6,0.7,62
Inferred,Smectite 1,1.78,1990,1145.1,12.1,710,7.5,73
Inferred,Subtotal - Smectite,1.77,1870,1331.6,13.2,825.6,8.2,71
Inferred,Illite 3,1.87,2970,108.1,1.7,67,1.1,84
Inferred,Illite 2,1.89,4750,86.1,2.2,53.4,1.4,81
Inferred,Illite 1,1.8,1830,455.7,4.4,282.5,2.8,80
Inferred,Subtotal - Illite,1.83,2470,649.9,8.3,402.9,5.2,81
Inferred,Subtotal,1.79,2070,1981.5,21.6,1228.5,13.4,75
